분석자,1,2,3,4,5,6
A,0.25,0.35,-0.45,-0.44,-0.15,-0.14
B,0.03,0.11,-0.51,-0.61,-0.15,-0.16
C,-0.01,0.22,0.03,0.33,-0.20,-0.10
D,-0.91,-0.79,-0.20,-0.35,-0.27,-0.38
E,0.11,0.05,0.00,0.18,-0.44,-0.46
